
Topic difficulty,access count,emotions,questions level,answer level,Performance,Engagement,Understanding
5,10,happy,7,8,0.85,0.8,0.9
6,15,sad,6,7,0.7,0.75,0.65
8,20,fear,9,8,0.5,0.6,0.55
3,8,angry,4,5,0.95,0.85,0.8
7,12,happy,8,9,0.8,0.85,0.88
4,18,sad,5,6,0.75,0.78,0.7
9,25,fear,10,10,0.6,0.65,0.62
2,6,angry,3,4,0.9,0.88,0.89
5,10,happy,7,8,0.85,0.8,0.9
6,15,sad,6,7,0.7,0.75,0.65
8,20,fear,9,8,0.5,0.6,0.55
3,8,angry,4,5,0.95,0.85,0.8
7,12,happy,8,9,0.8,0.85,0.88
4,18,sad,5,6,0.75,0.78,0.7
9,25,fear,10,10,0.6,0.65,0.62
2,6,angry,3,4,0.9,0.88,0.89
5,14,happy,7,6,0.82,0.78,0.83
6,20,sad,6,8,0.72,0.75,0.7
8,22,happy,9,9,0.78,0.8,0.77
4,11,angry,4,4,0.89,0.87,0.9
7,18,happy,8,8,0.83,0.85,0.82
3,9,fear,5,6,0.7,0.68,0.69
9,30,happy,10,10,0.88,0.9,0.85
2,7,sad,3,4,0.92,0.89,0.91
6,16,happy,7,8,0.8,0.82,0.85
7,13,fear,6,7,0.73,0.75,0.72
5,17,angry,8,9,0.76,0.78,0.79
4,12,sad,5,5,0.8,0.77,0.75
8,24,happy,9,9,0.9,0.87,0.88
3,8,angry,4,3,0.94,0.9,0.92
9,28,fear,10,10,0.61,0.63,0.6
2,6,sad,3,3,0.89,0.86,0.87
5,12,happy,7,8,0.82,0.79,0.84
6,18,sad,6,7,0.68,0.72,0.63
8,25,fear,9,8,0.55,0.62,0.58
3,9,angry,4,5,0.93,0.88,0.9
7,14,happy,8,9,0.81,0.83,0.85
4,20,sad,5,6,0.73,0.75,0.7
9,30,fear,10,10,0.59,0.65,0.61
2,7,angry,3,4,0.91,0.87,0.88
6,13,happy,7,8,0.8,0.78,0.82
5,19,sad,6,7,0.7,0.73,0.68
7,22,happy,8,9,0.86,0.88,0.87
4,10,angry,5,5,0.88,0.85,0.86
8,17,happy,9,9,0.77,0.81,0.79
3,8,fear,4,5,0.69,0.65,0.67
9,28,happy,10,10,0.91,0.9,0.88
2,6,sad,3,3,0.89,0.86,0.85
5,15,happy,6,7,0.83,0.81,0.84
7,12,fear,8,9,0.72,0.75,0.74
6,20,angry,7,8,0.71,0.74,0.73
3,9,sad,4,5,0.79,0.76,0.78
8,26,happy,9,10,0.88,0.87,0.89
4,7,angry,4,3,0.92,0.9,0.91
9,24,fear,10,9,0.63,0.66,0.65
2,6,sad,3,4,0.84,0.82,0.83
5,12,happy,7,8,0.82,0.79,0.84
6,18,sad,6,7,0.68,0.72,0.63
8,25,fear,9,8,0.55,0.62,0.58
3,9,angry,4,5,0.93,0.88,0.9
7,14,happy,8,9,0.81,0.83,0.85
4,20,sad,5,6,0.73,0.75,0.7
9,30,fear,10,10,0.59,0.65,0.61
2,7,angry,3,4,0.91,0.87,0.88
6,13,happy,7,8,0.8,0.78,0.82
5,19,sad,6,7,0.7,0.73,0.68
7,22,happy,8,9,0.86,0.88,0.87
4,10,angry,5,5,0.88,0.85,0.86
8,17,happy,9,9,0.77,0.81,0.79
3,8,fear,4,5,0.69,0.65,0.67
9,28,happy,10,10,0.91,0.9,0.88
2,6,sad,3,3,0.89,0.86,0.85
5,15,happy,6,7,0.83,0.81,0.84
7,12,fear,8,9,0.72,0.75,0.74
6,20,angry,7,8,0.71,0.74,0.73
3,9,sad,4,5,0.79,0.76,0.78
8,26,happy,9,10,0.88,0.87,0.89
4,7,angry,4,3,0.92,0.9,0.91
9,24,fear,10,9,0.63,0.66,0.65
2,6,sad,3,4,0.84,0.82,0.83
5,11,happy,7,8,0.81,0.78,0.83
6,16,sad,6,6,0.69,0.71,0.65
7,18,happy,8,9,0.85,0.86,0.87
4,12,angry,5,5,0.87,0.84,0.85
8,21,fear,9,8,0.58,0.64,0.6
9,29,happy,10,10,0.92,0.91,0.89
3,10,sad,4,5,0.78,0.74,0.76
2,8,fear,3,4,0.87,0.84,0.85
8,20,sad,6,6,0.55,0.5,0.48
9,25,fear,7,7,0.52,0.54,0.5
10,30,angry,8,7,0.48,0.49,0.45
8,18,fear,5,5,0.49,0.48,0.46
9,22,sad,6,6,0.51,0.52,0.49
10,28,angry,7,6,0.47,0.5,0.44
7,15,fear,6,5,0.56,0.53,0.58
8,24,sad,7,6,0.53,0.55,0.57
9,26,fear,8,7,0.50,0.51,0.52
10,29,angry,9,8,0.49,0.47,0.44
8,21,sad,6,5,0.54,0.52,0.55
7,19,angry,5,4,0.53,0.49,0.48
9,27,fear,8,8,0.48,0.46,0.45
10,32,sad,9,8,0.46,0.44,0.42
9,23,fear,7,6,0.51,0.49,0.50
8,20,angry,6,5,0.54,0.48,0.47
10,35,fear,9,9,0.45,0.43,0.41
9,30,sad,8,7,0.50,0.46,0.48
7,16,angry,5,4,0.55,0.51,0.53
8,22,sad,6,5,0.52,0.48,0.50

